                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68957,                0.45963,                 1.0701,                 0.9072,                0.98482,                 0.9649,                0.81342,                0.66887,                0.37711,                 1.0004,              0.0010334,              0.0010334,              0.0010334
                     37,                0.69167,                0.46714,                 1.0773,                0.90862,                0.98482,                0.97417,                0.83026,                0.65695,                0.37776,                 1.0025,              0.0010273,              0.0010273,              0.0010273
                     38,                0.69218,                0.45878,                 1.0689,                0.90911,                0.99034,                0.96691,                0.82287,                0.65158,                0.35777,                0.99543,              0.0010211,              0.0010211,              0.0010211
                     39,                0.67803,                0.46014,                 1.0633,                0.90624,                0.98923,                0.97552,                0.84324,                0.62606,                0.36573,                0.97404,              0.0010149,              0.0010149,              0.0010149
                     40,                 0.6725,                0.44678,                 1.0651,                  0.914,                0.98598,                0.97052,                0.82635,                0.61299,                0.35516,                0.96878,              0.0010087,              0.0010087,              0.0010087
                     41,                0.68014,                0.43993,                 1.0629,                0.91036,                0.99167,                0.97169,                0.83595,                0.62073,                0.36409,                0.96995,              0.0010025,              0.0010025,              0.0010025
                     42,                0.66188,                0.43836,                 1.0536,                0.90765,                0.98984,                0.97122,                0.84177,                0.61289,                0.34649,                0.96553,             0.00099631,             0.00099631,             0.00099631
                     43,                0.67873,                0.43229,                 1.0589,                0.90426,                0.99269,                0.97374,                0.83239,                 0.6337,                0.34519,                0.97044,             0.00099013,             0.00099013,             0.00099013
                     44,                0.66345,                0.42664,                 1.0515,                0.90081,                0.99167,                0.97415,                0.83712,                0.62324,                0.35316,                0.97702,             0.00098394,             0.00098394,             0.00098394
                     45,                0.65894,                0.42556,                 1.0481,                0.90205,                0.99338,                0.97224,                0.83054,                0.64089,                0.35773,                0.98212,             0.00097775,             0.00097775,             0.00097775
                     46,                0.66695,                0.43385,                 1.0552,                 0.9092,                 0.9951,                0.97306,                0.83838,                0.63388,                0.34449,                 0.9755,             0.00097156,             0.00097156,             0.00097156
                     47,                 0.6521,                0.41902,                 1.0394,                0.92256,                0.95865,                0.97437,                0.84104,                0.61482,                0.34877,                0.96745,             0.00096537,             0.00096537,             0.00096537
                     48,                0.65523,                0.41249,                 1.0496,                0.91248,                0.98482,                0.97691,                0.83956,                 0.6195,                0.34596,                0.96819,             0.00095919,             0.00095919,             0.00095919
                     49,                0.65413,                0.41828,                 1.0433,                0.90661,                0.98696,                0.97571,                0.84498,                0.61684,                0.35572,                0.96454,               0.000953,               0.000953,               0.000953
                     50,                0.65093,                0.42016,                 1.0507,                0.90494,                 0.9951,                0.97416,                0.83701,                 0.6389,                0.35697,                0.97575,             0.00094681,             0.00094681,             0.00094681
                     51,                0.64764,                0.41539,                 1.0439,                0.91364,                0.98293,                0.97533,                0.84153,                0.60717,                0.32381,                0.96522,             0.00094062,             0.00094062,             0.00094062
                     52,                0.65018,                0.42315,                  1.043,                0.90458,                0.98095,                0.97223,                0.83973,                0.60215,                0.34339,                0.96001,             0.00093444,             0.00093444,             0.00093444
                     53,                0.64213,                0.41133,                 1.0373,                0.90891,                0.98538,                0.97469,                0.84269,                0.60328,                   0.34,                0.95493,             0.00092825,             0.00092825,             0.00092825
                     54,                0.63759,                0.40462,                 1.0363,                0.90629,                0.99167,                0.97258,                0.84199,                0.59705,                0.34935,                0.95829,             0.00092206,             0.00092206,             0.00092206
                     55,                0.63528,                0.40356,                 1.0403,                0.88703,                 0.9951,                0.97065,                0.84041,                 0.6084,                0.34437,                0.97405,             0.00091588,             0.00091588,             0.00091588
                     56,                0.63784,                0.40509,                 1.0354,                0.90698,                0.99392,                0.97549,                0.85297,                0.60009,                0.33635,                0.95535,             0.00090969,             0.00090969,             0.00090969
                     57,                0.62668,                0.40268,                 1.0355,                0.90259,                0.99299,                0.97407,                0.84722,                0.59862,                0.35619,                0.95377,              0.0009035,              0.0009035,              0.0009035
                     58,                0.62904,                0.40304,                 1.0393,                0.91066,                0.99492,                 0.9742,                0.85403,                0.59259,                0.34667,                0.95476,             0.00089731,             0.00089731,             0.00089731
                     59,                0.63965,                 0.4022,                 1.0405,                0.90713,                0.99149,                0.97692,                0.84701,                0.60154,                0.34127,                0.96065,             0.00089112,             0.00089112,             0.00089112
                     60,                0.63098,                0.39618,                 1.0405,                0.90087,                0.99167,                0.97332,                0.84966,                0.60041,                0.33662,                0.94336,             0.00088494,             0.00088494,             0.00088494
                     61,                0.62884,                0.39988,                 1.0321,                0.89741,                 0.9951,                0.97422,                0.84518,                 0.6146,                0.35694,                0.96592,             0.00087875,             0.00087875,             0.00087875
                     62,                 0.6329,                0.39782,                 1.0355,                0.90373,                 0.9951,                0.97334,                0.86062,                0.59034,                0.34042,                0.95802,             0.00087256,             0.00087256,             0.00087256
                     63,                0.62905,                0.39901,                 1.0235,                0.91052,                 0.9948,                0.97486,                0.84607,                0.61269,                0.34053,                 0.9564,             0.00086637,             0.00086637,             0.00086637
                     64,                0.61629,                0.38581,                 1.0323,                0.91219,                 0.9951,                0.97592,                0.84283,                0.59937,                 0.3298,                0.95314,             0.00086019,             0.00086019,             0.00086019
                     65,                0.62486,                0.39115,                 1.0353,                 0.8996,                 0.9951,                 0.9779,                0.85545,                0.57731,                0.32591,                 0.9484,               0.000854,               0.000854,               0.000854
                     66,                 0.6225,                0.40228,                 1.0271,                0.91186,                 0.9951,                0.97682,                 0.8533,                0.59127,                0.30817,                0.95472,             0.00084781,             0.00084781,             0.00084781
                     67,                0.61593,                0.39169,                 1.0283,                0.90526,                 0.9951,                0.97566,                0.85295,                0.60225,                0.32252,                0.95341,             0.00084162,             0.00084162,             0.00084162
                     68,                0.60494,                0.38125,                 1.0213,                0.90946,                0.99257,                0.97594,                0.84892,                0.59459,                 0.3182,                0.95324,             0.00083544,             0.00083544,             0.00083544
                     69,                0.61502,                0.38577,                 1.0272,                0.90861,                0.99344,                0.97368,                0.83528,                0.61278,                0.33451,                 0.9557,             0.00082925,             0.00082925,             0.00082925
                     70,                0.61459,                0.38414,                 1.0234,                0.90642,                 0.9951,                 0.9772,                0.85244,                0.59909,                0.33081,                0.96305,             0.00082306,             0.00082306,             0.00082306
                     71,                0.60912,                0.38357,                 1.0239,                0.88967,                 0.9951,                0.97325,                0.84407,                0.59451,                0.35838,                 0.9605,             0.00081688,             0.00081688,             0.00081688
                     72,                 0.6129,                0.38237,                 1.0198,                0.90546,                0.99334,                0.97424,                0.84933,                0.60087,                0.32903,                0.95558,             0.00081069,             0.00081069,             0.00081069
                     73,                0.60462,                0.38103,                 1.0223,                  0.919,                 0.9951,                0.97808,                0.85246,                0.60687,                0.32878,                0.96391,              0.0008045,              0.0008045,              0.0008045
                     74,                 0.6015,                0.38048,                 1.0197,                0.89919,                 0.9951,                0.97833,                0.85098,                0.60355,                 0.3239,                0.95226,             0.00079831,             0.00079831,             0.00079831
                     75,                0.60876,                0.37893,                 1.0249,                0.91117,                0.99167,                 0.9761,                0.85246,                0.59456,                0.31426,                0.94864,             0.00079213,             0.00079213,             0.00079213
                     76,                0.59222,                0.37578,                 1.0165,                0.90666,                0.99038,                0.97558,                0.84728,                0.58919,                 0.3265,                0.95119,             0.00078594,             0.00078594,             0.00078594
                     77,                0.60004,                 0.3819,                 1.0174,                0.90988,                 0.9951,                0.97764,                0.85071,                0.59229,                0.31791,                0.95032,             0.00077975,             0.00077975,             0.00077975
                     78,                0.60013,                 0.3662,                  1.015,                0.90836,                 0.9951,                 0.9748,                0.84887,                0.61593,                0.33586,                0.96046,             0.00077356,             0.00077356,             0.00077356
                     79,                 0.5931,                 0.3756,                 1.0153,                0.91305,                0.99167,                0.97557,                0.85333,                  0.588,                  0.327,                0.94016,             0.00076738,             0.00076738,             0.00076738
                     80,                0.60322,                0.37872,                  1.016,                 0.9099,                0.98592,                0.97679,                0.85447,                0.58833,                0.33076,                0.94683,             0.00076119,             0.00076119,             0.00076119
                     81,                0.59232,                0.37275,                 1.0176,                0.90667,                 0.9951,                0.97756,                 0.8533,                0.58316,                0.31804,                0.94454,               0.000755,               0.000755,               0.000755
                     82,                0.59418,                0.37688,                 1.0171,                0.90195,                0.99382,                0.97609,                0.84901,                0.59264,                 0.3213,                0.95259,             0.00074881,             0.00074881,             0.00074881
                     83,                 0.5778,                0.36057,                 1.0099,                0.89519,                0.99331,                0.97723,                0.85391,                0.60158,                0.33459,                0.95192,             0.00074263,             0.00074263,             0.00074263
                     84,                0.58288,                0.36901,                 1.0146,                0.90727,                 0.9951,                0.97474,                0.84847,                0.59542,                0.32779,                 0.9534,             0.00073644,             0.00073644,             0.00073644
                     85,                0.57884,                0.36081,                 1.0091,                0.90645,                 0.9951,                0.97469,                0.85032,                0.58314,                 0.3312,                0.93402,             0.00073025,             0.00073025,             0.00073025
                     86,                0.58062,                0.36441,                 1.0122,                0.91039,                0.99349,                0.97919,                0.85158,                0.60728,                0.32316,                0.95883,             0.00072406,             0.00072406,             0.00072406
                     87,                0.56564,                 0.3552,                 1.0007,                0.90679,                 0.9951,                0.97612,                0.85273,                0.59739,                0.31107,                0.95374,             0.00071788,             0.00071788,             0.00071788
                     88,                0.57036,                0.35182,                 1.0021,                0.91322,                 0.9951,                0.97603,                 0.8444,                0.59873,                0.31135,                0.94781,             0.00071169,             0.00071169,             0.00071169
                     89,                0.57825,                 0.3585,                 1.0081,                0.90548,                 0.9951,                0.97611,                0.85005,                  0.606,                 0.3228,                0.95938,              0.0007055,              0.0007055,              0.0007055
                     90,                0.56855,                0.35202,                0.99679,                 0.9158,                 0.9951,                0.97703,                0.85091,                0.59987,                0.30948,                0.95031,             0.00069931,             0.00069931,             0.00069931
                     91,                0.57277,                0.34935,                 1.0006,                0.91453,                 0.9951,                0.97729,                0.85335,                0.59287,                0.31216,                0.95559,             0.00069313,             0.00069313,             0.00069313
                     92,                0.57081,                0.36236,                 1.0031,                0.90355,                0.98566,                0.97162,                0.85136,                 0.5969,                0.32373,                0.94428,             0.00068694,             0.00068694,             0.00068694
                     93,                0.56306,                0.35214,                 1.0063,                0.91967,                0.99401,                0.97898,                0.85095,                0.59458,                0.30329,                0.94361,             0.00068075,             0.00068075,             0.00068075
                     94,                 0.5722,                0.34917,                 1.0038,                0.91099,                 0.9918,                0.97881,                0.85694,                0.58588,                0.30926,                0.94316,             0.00067456,             0.00067456,             0.00067456
                     95,                0.56066,                0.35727,                 1.0031,                0.91635,                0.99321,                0.97897,                0.85631,                0.58482,                0.30804,                0.94652,             0.00066838,             0.00066838,             0.00066838
                     96,                0.56105,                0.35676,                 1.0007,                0.90261,                 0.9951,                0.97657,                0.85457,                0.58856,                0.31801,                0.95539,             0.00066219,             0.00066219,             0.00066219
                     97,                0.56302,                0.34394,                 0.9992,                0.90999,                 0.9951,                0.97572,                0.85866,                0.58634,                0.31711,                0.94918,               0.000656,               0.000656,               0.000656
                     98,                0.55616,                0.34256,                0.99696,                0.90961,                 0.9951,                0.97851,                0.84913,                0.58573,                0.30151,                0.95101,             0.00064981,             0.00064981,             0.00064981
                     99,                0.55249,                  0.344,                0.99466,                0.91684,                 0.9936,                0.97657,                0.85145,                0.58878,                0.30535,                0.95035,             0.00064362,             0.00064362,             0.00064362
                    100,                0.56904,                0.34733,                0.99967,                0.91513,                0.99241,                0.97815,                0.85698,                0.56988,                0.29979,                0.94011,             0.00063744,             0.00063744,             0.00063744
