                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63284,                0.38951,                 1.0412,                0.97513,                0.99041,                0.98921,                0.83833,                0.59346,                0.28235,                0.96657,             0.00075152,             0.00075152,             0.00075152
                     37,                0.63664,                0.40228,                 1.0364,                0.94285,                0.91981,                0.95354,                0.81898,                0.60408,                  0.292,                0.97575,             0.00074702,             0.00074702,             0.00074702
                     38,                0.66528,                0.44913,                 1.0577,                0.96445,                0.99261,                0.98915,                 0.8516,                0.59084,                0.31974,                 0.9723,             0.00074252,             0.00074252,             0.00074252
                     39,                 0.6666,                 0.4786,                  1.113,                0.95907,                0.99118,                0.98991,                0.85377,                0.58578,                0.28086,                0.96188,             0.00073802,             0.00073802,             0.00073802
                     40,                0.64201,                 0.3923,                 1.0408,                0.96995,                 0.9869,                0.98805,                 0.8384,                 0.5928,                0.28671,                0.96679,             0.00073352,             0.00073352,             0.00073352
                     41,                0.63003,                0.37995,                 1.0286,                0.96729,                0.99234,                 0.9895,                0.82198,                0.58729,                0.30431,                0.96462,             0.00072902,             0.00072902,             0.00072902
                     42,                0.64145,                0.41648,                 1.0296,                0.96853,                0.99331,                0.98858,                0.82656,                0.59254,                0.29159,                 0.9664,             0.00072452,             0.00072452,             0.00072452
                     43,                 0.6175,                0.37572,                 1.0264,                0.97552,                0.99053,                0.98939,                0.83762,                0.58058,                0.27624,                0.94898,             0.00072002,             0.00072002,             0.00072002
                     44,                0.62327,                0.37731,                 1.0312,                0.96559,                0.98281,                0.99134,                0.84428,                0.57881,                0.27702,                0.95338,             0.00071552,             0.00071552,             0.00071552
                     45,                0.63127,                  0.378,                 1.0452,                 0.9912,                0.96995,                0.98959,                0.80111,                0.60795,                0.28845,                 0.9622,             0.00071102,             0.00071102,             0.00071102
                     46,                0.62679,                0.37213,                 1.0294,                 0.9725,                0.99027,                0.98805,                0.83542,                0.58907,                0.28811,                0.96709,             0.00070652,             0.00070652,             0.00070652
                     47,                0.61565,                0.35656,                 1.0395,                0.96999,                0.99046,                0.98853,                0.84753,                0.58538,                0.27989,                0.96531,             0.00070202,             0.00070202,             0.00070202
                     48,                0.60947,                0.36084,                 1.0317,                0.96283,                0.99423,                0.99092,                0.83641,                0.58986,                0.28388,                0.95907,             0.00069752,             0.00069752,             0.00069752
                     49,                0.60744,                0.37079,                 1.0197,                0.97356,                0.99136,                0.99148,                0.84011,                0.58398,                0.27243,                0.96188,             0.00069302,             0.00069302,             0.00069302
                     50,                0.60171,                0.35583,                 1.0148,                0.96639,                0.99175,                0.99153,                 0.8622,                0.57948,                0.28267,                0.95331,             0.00068852,             0.00068852,             0.00068852
                     51,                0.61908,                0.36067,                 1.0228,                0.97526,                0.98988,                0.99069,                0.83054,                0.58364,                0.27459,                0.96994,             0.00068402,             0.00068402,             0.00068402
                     52,                0.61414,                0.38402,                 1.0324,                0.98122,                0.99538,                0.99067,                0.84355,                0.58373,                0.28022,                0.96163,             0.00067952,             0.00067952,             0.00067952
                     53,                0.62537,                0.35632,                 1.0257,                0.97062,                0.99254,                0.99193,                0.85211,                 0.5754,                 0.2916,                0.95194,             0.00067502,             0.00067502,             0.00067502
                     54,                 0.6075,                0.35158,                 1.0165,                 0.9832,                0.98095,                0.99009,                0.84086,                0.59006,                0.28092,                0.96754,             0.00067052,             0.00067052,             0.00067052
                     55,                0.61023,                0.35928,                 1.0263,                0.97248,                0.98913,                0.98989,                0.84224,                0.58365,                0.26983,                0.95435,             0.00066602,             0.00066602,             0.00066602
                     56,                0.60644,                0.38482,                 1.0283,                0.97451,                0.99132,                0.98129,                 0.8322,                 0.5819,                0.27239,                 0.9488,             0.00066152,             0.00066152,             0.00066152
                     57,                0.60663,                0.35937,                 1.0228,                0.97829,                0.99538,                0.99112,                0.84122,                0.58627,                0.26623,                0.95691,             0.00065703,             0.00065703,             0.00065703
                     58,                0.60761,                0.35796,                 1.0218,                0.94638,                0.98853,                0.98984,                 0.8555,                0.58242,                 0.2827,                0.96284,             0.00065253,             0.00065253,             0.00065253
                     59,                0.62436,                0.39197,                 1.0268,                0.97883,                0.98794,                0.98947,                0.85417,                 0.5846,                0.27819,                0.96394,             0.00064803,             0.00064803,             0.00064803
                     60,                 0.6188,                0.36127,                 1.0343,                0.96923,                0.99157,                0.98961,                0.85749,                0.57836,                0.28171,                0.96187,             0.00064353,             0.00064353,             0.00064353
                     61,                0.62257,                0.35884,                 1.0197,                0.96648,                0.99009,                0.99158,                0.83881,                0.58596,                0.27605,                0.95809,             0.00063903,             0.00063903,             0.00063903
                     62,                0.58874,                0.34511,                  1.009,                0.95683,                0.92144,                0.94529,                0.82412,                0.57575,                0.26938,                0.95279,             0.00063453,             0.00063453,             0.00063453
                     63,                0.60939,                0.34927,                 1.0213,                0.97881,                0.98724,                0.99047,                 0.8384,                0.58021,                0.27158,                0.95571,             0.00063003,             0.00063003,             0.00063003
                     64,                0.59774,                0.35826,                 1.0173,                0.97948,                0.99124,                0.99234,                0.84785,                 0.5667,                0.26539,                0.94362,             0.00062553,             0.00062553,             0.00062553
                     65,                0.60003,                0.34762,                 1.0232,                0.97565,                0.99414,                0.99194,                0.83644,                  0.583,                0.26558,                0.95412,             0.00062103,             0.00062103,             0.00062103
                     66,                0.60002,                0.35247,                   1.01,                0.95905,                0.92091,                0.93897,                0.81865,                 0.5737,                0.28458,                0.94473,             0.00061653,             0.00061653,             0.00061653
                     67,                0.62732,                0.38451,                 1.0453,                0.98304,                0.99048,                0.98963,                0.83121,                0.58492,                 0.2593,                0.95459,             0.00061203,             0.00061203,             0.00061203
                     68,                0.59972,                0.33707,                 1.0186,                0.98217,                0.99142,                0.99026,                0.83868,                0.58322,                0.26053,                 0.9579,             0.00060753,             0.00060753,             0.00060753
                     69,                0.59721,                0.33576,                 1.0141,                0.97388,                0.98871,                0.99048,                0.82671,                0.56786,                0.25354,                0.94451,             0.00060303,             0.00060303,             0.00060303
                     70,                0.58177,                0.33541,                 1.0116,                0.91148,                 0.9873,                0.96765,                0.84577,                0.57911,                0.26327,                0.95126,             0.00059853,             0.00059853,             0.00059853
                     71,                0.58675,                 0.3391,                 1.0051,                0.95421,                0.91349,                0.94046,                0.81351,                0.56912,                0.25844,                0.94906,             0.00059403,             0.00059403,             0.00059403
                     72,                0.59683,                0.35372,                 1.0203,                0.97448,                0.99483,                0.99088,                 0.8428,                0.57139,                0.27394,                0.95299,             0.00058953,             0.00058953,             0.00058953
                     73,                0.59296,                0.33083,                 1.0153,                0.98291,                0.98958,                 0.9916,                0.84703,                 0.5701,                 0.2515,                0.95337,             0.00058503,             0.00058503,             0.00058503
