                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61286,                0.38526,                 1.0283,                0.90651,                 0.9951,                0.97161,                0.83736,                0.62669,                0.33714,                0.96789,             0.00038375,             0.00038375,             0.00038375
                     37,                0.60545,                0.37644,                 1.0263,                0.90088,                0.99234,                0.96948,                0.83959,                0.61606,                0.34318,                0.95766,               0.000359,               0.000359,               0.000359
                     38,                0.60699,                0.38295,                 1.0213,                0.90222,                0.98922,                0.97217,                0.83377,                0.62094,                0.34627,                0.96542,             0.00033425,             0.00033425,             0.00033425
                     39,                0.59362,                 0.3743,                 1.0133,                0.90043,                0.98952,                0.97063,                0.85183,                0.59879,                0.34936,                0.94563,              0.0003095,              0.0003095,              0.0003095
                     40,                0.59464,                0.37195,                  1.017,                0.91301,                0.98559,                0.97435,                0.85191,                 0.5991,                0.32916,                0.94601,             0.00028475,             0.00028475,             0.00028475
                     41,                0.55959,                0.32548,                 1.0261,                0.90818,                0.99167,                 0.9755,                0.84868,                0.61318,                0.33199,                 0.9572,                0.00026,                0.00026,                0.00026
                     42,                0.54539,                0.30731,                 1.0101,                0.92127,                0.98401,                0.97659,                0.85504,                0.60162,                0.33601,                0.94713,             0.00023525,             0.00023525,             0.00023525
                     43,                0.53783,                0.30094,                 1.0086,                0.90711,                0.99167,                0.97685,                0.85764,                0.58614,                0.31352,                0.94445,              0.0002105,              0.0002105,              0.0002105
                     44,                0.53379,                0.29173,                 1.0102,                0.91206,                0.99483,                0.97672,                0.84922,                0.59325,                0.31503,                 0.9473,             0.00018575,             0.00018575,             0.00018575
                     45,                0.52718,                 0.2924,                 1.0034,                0.92005,                0.99038,                0.97566,                0.85042,                0.59323,                0.31391,                0.94661,               0.000161,               0.000161,               0.000161
                     46,                0.52191,                0.28302,                0.99505,                0.92402,                0.99199,                 0.9768,                0.85883,                 0.5924,                0.31805,                  0.945,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.5135,                0.27752,                0.99626,                0.91935,                 0.9951,                0.97566,                0.85699,                0.58571,                0.33167,                 0.9388,              0.0001115,              0.0001115,              0.0001115
                     48,                0.50614,                0.27617,                0.99158,                0.91971,                 0.9923,                0.97604,                0.85699,                  0.589,                0.31576,                0.93962,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.49218,                0.26812,                0.98663,                0.92191,                 0.9951,                0.97632,                0.85753,                 0.5851,                0.31518,                0.93692,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.48737,                0.26385,                0.97607,                0.91431,                 0.9951,                0.97672,                0.85752,                 0.5858,                0.30846,                0.93906,              3.725e-05,              3.725e-05,              3.725e-05
